"id","name","level","exp","boss","HP","MP","exp_div_hp"
"0100000","","1","3","0","15","","0.2"
"0100001","","2","4","0","20","","0.2"
"0100002","","4","6","0","35","","0.17142857142857143"
"0100003","","2","4","0","20","","0.2"
"0100004","","6","10","0","65","10","0.15384615384615385"
"0100005","","4","6","0","35","","0.17142857142857143"
"0100006","","7","12","0","80","10","0.15"
"0100007","","7","12","0","80","10","0.15"
"0100100","","1","3","0","15","","0.2"
"0100101","","2","4","0","20","","0.2"
"0100120","","1","3","0","15","","0.2"
"0100121","","3","5","0","25","","0.2"
"0100122","","5","8","0","50","","0.16"
"0100123","","7","12","0","80","10","0.15"
"0100124","","9","15","0","110","10","0.13636363636363635"
"0100130","","1","3","0","15","","0.2"
"0100131","","3","5","0","25","","0.2"
"0100132","","5","8","0","50","","0.16"
"0100133","","7","12","0","80","10","0.15"
"0100134","","9","15","0","110","10","0.13636363636363635"
"0100200","","1","3","0","15","","0.2"
"0120100","","3","5","0","25","","0.2"
"0130100","","20","35","0","375","40","0.09333333333333334"
"0130101","","5","8","0","50","","0.16"
"0150000","","5","8","0","50","","0.16"
"0150001","","6","10","0","65","10","0.15384615384615385"
"0150002","","8","15","0","110","10","0.13636363636363635"
"0210100","","7","12","0","80","10","0.15"
"1110100","Green Mushroom","10","17","0","125","10","0.136"
"1110101","Dark Stump","20","35","0","375","40","0.09333333333333334"
"1110130","Dejected Green Mushroom","11","19","0","150","20","0.12666666666666668"
"1120100","Octopus","10","17","0","125","10","0.136"
"1130100","Axe Stump","21","44","0","405","80","0.10864197530864197"
"1140100","Ghost Stump","23","48","0","465","80","0.1032258064516129"
"1140130","Smirking Ghost Stump","24","50","0","495","80","0.10101010101010101"
"1150000","Patrol Robot","14","24","0","225","20","0.10666666666666667"
"1150001","Strange Sign","16","28","0","275","40","0.10181818181818182"
"1150002","Serpent","18","32","0","325","40","0.09846153846153846"
"1210100","Pig","7","12","0","80","10","0.15"
"1210101","Ribbon Pig","10","17","0","125","10","0.136"
"1210102","Orange Mushroom","10","17","0","125","10","0.136"
"1210103","Bubbling","10","17","0","125","10","0.136"
"1210104","Blue Ribbon Pig","13","23","0","200","20","0.115"
"1210111","Strange Pig","11","19","0","150","20","0.12666666666666668"
"1220000","Yellow Starfish","17","28","0","275","40","0.10181818181818182"
"1220001","Angry Starfish","20","35","0","375","40","0.09333333333333334"
"1220002","Jellyfish","24","50","0","495","80","0.10101010101010101"
"1220003","Cool Jellyfish","24","56","0","580","120","0.09655172413793103"
"2100100","Desert Rabbit (F)","86","1012","0","74000","2400","0.013675675675675675"
"2100101","Desert Rabbit (M)","86","1012","0","74000","2400","0.013675675675675675"
"2100102","Jr. Cactus","86","1012","0","74000","2400","0.013675675675675675"
"2100103","Cactus","87","1056","0","78000","2400","0.01353846153846154"
"2100104","Royal Cactus","87","1056","0","78000","2400","0.01353846153846154"
"2100105","Bellamoa","88","1100","0","82000","2400","0.013414634146341463"
"2100106","Ear Plug Plead","88","1100","0","82000","2400","0.013414634146341463"
"2100107","Scarf Plead","88","1100","0","82000","2400","0.013414634146341463"
"2100108","Meerkat","89","1145","0","86000","2400","0.013313953488372093"
"2110200","Horny Mushroom","12","21","0","175","20","0.12"
"2110300","Sand Rat","89","1145","0","86000","2400","0.013313953488372093"
"2110301","Scorpion","90","1188","0","90000","2400","0.0132"
"2130100","Dark Axe Stump","22","46","0","435","80","0.10574712643678161"
"2130103","Jr. Necki","45","134","0","4800","450","0.027916666666666666"
"2150000","Water Thief Monster","20","35","0","375","40","0.09333333333333334"
"2150001","Dust Box","22","39","0","435","80","0.0896551724137931"
"2150002","Streetlight","25","53","0","525","80","0.10095238095238095"
"2150003","Patrol Robot S","28","64","0","720","120","0.08888888888888889"
"2220000","Mano ","10","170","1","1250","100","0.136"
"2220100","Blue Mushroom","14","24","0","225","20","0.10666666666666667"
"2220110","Crying Blue Mushroom","15","26","0","250","20","0.104"
"2230100","Evil Eye","26","47","0","580","120","0.08103448275862069"
"2230101","Zombie Mushroom","65","289","0","15000","1200","0.019266666666666668"
"2230102","Wild Boar","55","187","0","8000","800","0.023375"
"2230103","Trixter","93","1316","0","102000","2600","0.012901960784313726"
"2230104","Green Trixter","93","1316","0","102000","2600","0.012901960784313726"
"2230105","Seacle","76","535","0","34000","2000","0.01573529411764706"
"2230106","Cico","76","535","0","34000","2000","0.01573529411764706"
"2230107","Krappy","76","535","0","34000","2000","0.01573529411764706"
