id,level,exp,boss,HP,MP
0100000,1,3,0,15,
0100001,2,4,0,20,
0100002,4,6,0,35,
0100003,2,4,0,20,
0100004,6,10,0,65,10
0100005,4,6,0,35,
0100006,7,12,0,80,10
0100007,7,12,0,80,10
0100100,1,3,0,15,
0100101,2,4,0,20,
0100120,1,3,0,15,
0100121,3,5,0,25,
0100122,5,8,0,50,
0100123,7,12,0,80,10
0100124,9,15,0,110,10
0100130,1,3,0,15,
0100131,3,5,0,25,
0100132,5,8,0,50,
0100133,7,12,0,80,10
0100134,9,15,0,110,10
0100200,1,3,0,15,
0120100,3,5,0,25,
0130100,20,35,0,375,40
0130101,5,8,0,50,
0150000,5,8,0,50,
0150001,6,10,0,65,10
0150002,8,15,0,110,10
0210100,7,12,0,80,10
1110100,10,17,0,125,10
1110101,20,35,0,375,40
1110130,11,19,0,150,20
1120100,10,17,0,125,10
1130100,21,44,0,405,80
1140100,23,48,0,465,80
1140130,24,50,0,495,80
1150000,14,24,0,225,20
1150001,16,28,0,275,40
1150002,18,32,0,325,40
1210100,7,12,0,80,10
1210101,10,17,0,125,10
1210102,10,17,0,125,10
1210103,10,17,0,125,10
1210104,13,23,0,200,20
1210111,11,19,0,150,20
1220000,17,28,0,275,40
1220001,20,35,0,375,40
1220002,24,50,0,495,80
1220003,24,56,0,580,120
2100100,86,1012,0,74000,2400
2100101,86,1012,0,74000,2400
2100102,86,1012,0,74000,2400
2100103,87,1056,0,78000,2400
2100104,87,1056,0,78000,2400
2100105,88,1100,0,82000,2400
2100106,88,1100,0,82000,2400
2100107,88,1100,0,82000,2400
2100108,89,1145,0,86000,2400
2110200,12,21,0,175,20
2110300,89,1145,0,86000,2400
2110301,90,1188,0,90000,2400
2130100,22,46,0,435,80
2130103,45,134,0,4800,450
2150000,20,35,0,375,40
2150001,22,39,0,435,80
2150002,25,53,0,525,80
2150003,28,64,0,720,120
2220000,10,170,1,1250,100
2220100,14,24,0,225,20
2220110,15,26,0,250,20
2230100,26,47,0,580,120
2230101,65,289,0,15000,1200
2230102,55,187,0,8000,800
2230103,93,1316,0,102000,2600
2230104,93,1316,0,102000,2600
2230105,76,535,0,34000,2000
2230106,76,535,0,34000,2000
2230107,76,535,0,34000,2000
2230108,75,484,0,30000,1800
2230109,77,584,0,38000,2000
2230110,60,233,0,11000,1000
2230111,61,245,0,11800,1200
2230112,55,187,0,8000,800
2230113,29,56,0,790,120
2230114,49,151,0,5760,600
2230115,50,156,0,6000,800
2230131,65,289,0,15000,1200
2230200,77,584,0,38000,2000
2300100,43,127,0,4400,450
2400000,13,32,0,350,20
2400001,20,48,0,700,40
2400002,23,54,0,930,80
2400003,15,38,0,500,20
2400004,22,51,0,870,20
2400005,21,49,0,810,20
2400006,24,57,0,990,80
2400007,27,65,0,1276,120
2400008,28,67,0,1411,120
2400009,29,69,0,1491,120
2400010,39,148,0,7098,420
2400011,40,157,0,7440,500
