id,name,level,exp,hp
100000,Snail,1,3,15
100001,Blue Snail,2,4,20
100002,Red Snail,4,6,35
100003,Spore,2,4,20
100004,Orange Mushroom,6,10,65
100005,Stump,4,6,35
100006,Slime,7,12,80
100007,Pig,7,12,80
100100,Snail,1,3,15
100101,Blue Snail,2,4,20
100120,Tino,1,3,15
100121,Tiv,3,5,25
100122,Timu,5,8,50
100123,Tiru,7,12,80
100124,Tiguru,9,15,110
100130,Muru,1,3,15
100131,Murupa,3,5,25
100132,Murupia,5,8,50
100133,Murumuru,7,12,80
100134,Murukun,9,15,110
100200,Starfish,1,3,15
120100,Shroom,3,5,25
130100,Stump,20,35,375
130101,Red Snail,5,8,50
150000,Potted Sprout,5,8,50
150001,Potted Morning Glory,6,10,65
150002,Grape Juice Bottle,8,15,110
210100,Slime,7,12,80
1110100,Green Mushroom,10,17,125
1110101,Dark Stump,20,35,375
1110130,Dejected Green Mushroom,11,19,150
1120100,Octopus,10,17,125
1130100,Axe Stump,21,44,405
1140100,Ghost Stump,23,48,465
1140130,Smirking Ghost Stump,24,50,495
1150000,Patrol Robot,14,24,225
1150001,Strange Sign,16,28,275
1150002,Serpent,18,32,325
1210100,Pig,7,12,80
1210101,Ribbon Pig,10,17,125
1210102,Orange Mushroom,10,17,125
1210103,Bubbling,10,17,125
1210104,Blue Ribbon Pig,13,23,200
1210111,Strange Pig,11,19,150
1220000,Yellow Starfish,17,28,275
1220001,Angry Starfish,20,35,375
1220002,Jellyfish,24,50,495
1220003,Cool Jellyfish,24,56,580
2100100,Desert Rabbit (F),86,1012,74000
2100101,Desert Rabbit (M),86,1012,74000
2100102,Jr. Cactus,86,1012,74000
2100103,Cactus,87,1056,78000
2100104,Royal Cactus,87,1056,78000
2100105,Bellamoa,88,1100,82000
2100106,Ear Plug Plead,88,1100,82000
2100107,Scarf Plead,88,1100,82000
2100108,Meerkat,89,1145,86000
2110200,Horny Mushroom,12,21,175
2110300,Sand Rat,89,1145,86000
2110301,Scorpion,90,1188,90000
2130100,Dark Axe Stump,22,46,435
2130103,Jr. Necki,45,134,4800
2150000,Water Thief Monster,20,35,375
2150001,Dust Box,22,39,435
2150002,Streetlight,25,53,525
2150003,Patrol Robot S,28,64,720
2220000,Mano ,10,170,1250
2220100,Blue Mushroom,14,24,225
2220110,Crying Blue Mushroom,15,26,250
2230100,Evil Eye,26,47,580
2230101,Zombie Mushroom,65,289,15000
2230102,Wild Boar,55,187,8000
2230103,Trixter,93,1316,102000
2230104,Green Trixter,93,1316,102000
2230105,Seacle,76,535,34000
2230106,Cico,76,535,34000
2230107,Krappy,76,535,34000
2230108,Pinboom,75,484,30000
2230109,Bubble Fish,77,584,38000
2230110,Wooden Mask,60,233,11000
2230111,Rocky Mask,61,245,11800
2230112,Terrified Wild Boar,55,187,8000
2230113,Surgeon Eye,29,56,790
2230114,Muddy Swamp Monster,49,151,5760
2230115,Muddy Sprout Monster,50,156,6000
2230131,Annoyed Zombie Mushroom,65,289,15000
2230200,Flower Fish,77,584,38000
2300100,Stirge,43,127,4400
2400000,Sleepy Grobbler,13,32,350
2400001,Alert Grobbler,20,48,700
2400002,Grumpy Grobbler,23,54,930
2400003,Limestone Tokka,15,38,500
2400004,Amethyst Tokka,22,51,870
2400005,Laloong,21,49,810
2400006,Kaloong,24,57,990
2400007,Nefarious Monk Initiate,27,65,1276
2400008,Nefarious Monk Apprentice,28,67,1411
2400009,Nefarious Monk Master,29,69,1491
2400010,Heretic Monk Initiate,39,148,7098
2400011,Heretic Monk Apprentice,40,157,7440
2400012,Heretic Leader,41,162,7680
2400013,Onyx Stonegar,40,149,7892
2400014,Gravi Stonegar,41,155,8242
2400015,Faded Specter Battle Hound,33,95,9000
2400016,Faded Specter Shieldbearer,34,100,18000
2400017,Faded Guerrilla Specter,35,104,9400
2400018,Faded Warrior Specter,36,109,16000
2400019,Faded Magician Specter,37,114,14000
2400020,Faded Reaper Specter,38,120,19000
2400100,Blue Speeyor,95,1819,220000
2400101,Red Speeyor,96,1872,228000
2400102,Yellow Speeyor,98,1978,244000
2400103,Dinogoth,96,1872,228000
2400104,Dinoram,97,1925,236000
2400105,Dinodon,99,2029,252000
2400106,Specter Battle Hound,95,1819,220000
2400107,Specter Tamer,100,2076,260000
2400108,Specter Miner,97,1925,236000
2400109,Specter Shieldbearer,96,1872,228000
2400110,Guerrilla Specter,101,2168,273360
2400111,Power Specter,103,2325,301040
2400112,Specter Engineer,102,2237,287040
2400113,Warrior Specter,104,2416,315360
2400114,Magician Specter,105,2488,331500
2400115,Reaper Specter,115,3411,755250
2400116,Red Totem Staff,106,2579,346500
2400117,Blue Totem Staff,107,2672,361820
2400118,Purple Reagent Rock,106,2579,346500
2400119,Red Reagent Rock,107,2672,361820
2400120,Specter Battle Hound,95,1819,1100000
2400121,Specter Tamer,100,1819,1300000
2400122,Specter Miner,97,1925,1180000
2400123,Specter Shieldbearer,96,1440,1140000
2400124,Guerrilla Specter,101,2168,1366800
2400125,Power Specter,103,2325,1505200
2400126,Specter Engineer,102,2237,1435200
