id,level,exp,hp
0100000,1,3,15
0100001,2,4,20
0100002,4,6,35
0100003,2,4,20
0100004,6,10,65
0100005,4,6,35
0100006,7,12,80
0100007,7,12,80
0100100,1,3,15
0100101,2,4,20
0100120,1,3,15
0100121,3,5,25
0100122,5,8,50
0100123,7,12,80
0100124,9,15,110
0100130,1,3,15
0100131,3,5,25
0100132,5,8,50
0100133,7,12,80
0100134,9,15,110
0100200,1,3,15
0120100,3,5,25
0130100,20,35,375
0130101,5,8,50
0150000,5,8,50
0150001,6,10,65
0150002,8,15,110
0210100,7,12,80
1110100,10,17,125
1110101,20,35,375
1110130,11,19,150
1120100,10,17,125
1130100,21,44,405
1140100,23,48,465
1140130,24,50,495
1150000,14,24,225
1150001,16,28,275
1150002,18,32,325
1210100,7,12,80
1210101,10,17,125
1210102,10,17,125
1210103,10,17,125
1210104,13,23,200
1210111,11,19,150
1220000,17,28,275
1220001,20,35,375
1220002,24,50,495
1220003,24,56,580
2100100,86,1012,74000
2100101,86,1012,74000
2100102,86,1012,74000
2100103,87,1056,78000
2100104,87,1056,78000
2100105,88,1100,82000
2100106,88,1100,82000
2100107,88,1100,82000
2100108,89,1145,86000
2110200,12,21,175
2110300,89,1145,86000
2110301,90,1188,90000
2130100,22,46,435
2130103,45,134,4800
2150000,20,35,375
2150001,22,39,435
2150002,25,53,525
2150003,28,64,720
2220000,10,170,1250
2220100,14,24,225
2220110,15,26,250
2230100,26,47,580
2230101,65,289,15000
2230102,55,187,8000
2230103,93,1316,102000
2230104,93,1316,102000
2230105,76,535,34000
2230106,76,535,34000
2230107,76,535,34000
2230108,75,484,30000
2230109,77,584,38000
2230110,60,233,11000
2230111,61,245,11800
2230112,55,187,8000
2230113,29,56,790
2230114,49,151,5760
2230115,50,156,6000
2230131,65,289,15000
2230200,77,584,38000
2300100,43,127,4400
2400000,13,32,350
2400001,20,48,700
2400002,23,54,930
2400003,15,38,500
2400004,22,51,870
2400005,21,49,810
2400006,24,57,990
2400007,27,65,1276
2400008,28,67,1411
2400009,29,69,1491
2400010,39,148,7098
2400011,40,157,7440
2400012,41,162,7680
2400013,40,149,7892
2400014,41,155,8242
2400015,33,95,9000
2400016,34,100,18000
2400017,35,104,9400
2400018,36,109,16000
2400019,37,114,14000
